schedule,x_shots,pure_effective_information_per_block,optimal_schedule_block_fraction,mixed_effective_information_per_block,mixed_minimum_eigenvalue
ZZXZZZXZ,2,0.0002978023071041336,0.03,0.0005188523851190618,0.00042552581767108834
ZZXZZZXX,3,0.000286175366933511,0.025,0.0005206176108962235,0.0004264477351603683
ZZXZZXZZ,2,0.00029673766369747723,0.03,0.0005187922301002068,0.000425466056999179
ZZXZZXZX,3,0.00027787151272723465,0.03,0.0005219734466704318,0.0004276533356124615
ZZXZZXXZ,3,0.0002117113951040639,0.02,0.0005195462605043777,0.0004259825581607417
ZZXZZXXX,4,0.00026914078635326133,0.025,0.0005227809263029792,0.00042801114788037185
ZZXZXZZZ,2,0.00037221265516906854,0.045,0.0005224330569477686,0.0004282584291162624
ZZXZXZZX,3,0.0002795175077435763,0.03,0.0005220469092577784,0.0004277168170367645
ZZXZXZXZ,3,0.00023165658068530215,0.035,0.000523757179671791,0.00042940412389710567
ZZXZXZXX,4,0.00022904328233822047,0.03,0.0005242383589540434,0.0004294269576785928
ZZXZXXZZ,3,0.00027949649994774006,0.03,0.000522006486125326,0.00042767305413572015
ZZXZXXZX,4,0.00022815101482392963,0.03,0.0005241681312352919,0.0004293583761852647
ZZXZXXXZ,4,0.00022880339770464664,0.03,0.0005241814111740517,0.0004293679700569618
ZZXZXXXX,5,0.00027557431193550586,0.045,0.000527492028619847,0.00043226684854649804
ZZXXZZZZ,2,0.0003651116575347779,0.035,0.0005203013144263191,0.00042633227663227587
ZZXXZZZX,3,0.0002886124784418076,0.025,0.0005206530737648096,0.00042647251744214014
ZZXXZZXZ,3,0.00021371499246014558,0.02,0.0005195976681252601,0.0004260281984106284
ZZXXZZXX,4,0.00020285339985512407,0.02,0.0005208199515116529,0.0004265021681869735
ZZXXZXZZ,3,0.0002798766389779106,0.03,0.0005220282538093701,0.0004276938602557345
ZZXXZXZX,4,0.00022890875851913628,0.03,0.0005242174302585445,0.0004294019924746609
ZZXXZXXZ,4,0.00017517882594447753,0.02,0.000521883163357717,0.0004275581160814012
ZZXXZXXX,5,0.0002249221840147364,0.025,0.0005245532123897556,0.0004294238279064066
ZZXXXZZZ,3,0.0003645486239405582,0.035,0.0005234188188757982,0.0004285869660998684
ZZXXXZZX,4,0.0002729867497137384,0.025,0.0005228686720048503,0.00042808157094355835
ZZXXXZXZ,4,0.00022961207616908896,0.03,0.0005242494276069265,0.00042942891985733866
ZZXXXZXX,5,0.00022586341732813708,0.025,0.0005245975544166948,0.0004294625363760098
ZZXXXXZZ,4,0.0003363261283380603,0.035,0.0005255876863278219,0.0004303526034132902
ZZXXXXZX,5,0.00027635771920070384,0.045,0.0005275557367456774,0.0004323126590996514
ZZXXXXXZ,5,0.0002763020065050803,0.045,0.0005275281024272327,0.0004322868743283321
ZZXXXXXX,6,0.0003204048391618891,0.15,0.000534512514770491,0.000442255640729933
ZXZZZZZZ,1,0.00043450176079057323,0.065,0.0005194747830771784,0.0004258739710878163
ZXZZZZZX,2,0.00036828613213724104,0.035,0.000520355919327975,0.0004263487268848856
ZXZZZZXZ,2,0.00030071703446066245,0.03,0.0005189015522553686,0.00042553514347701445
ZXZZZZXX,3,0.00029408255878998757,0.025,0.0005206611887124679,0.00042645767903033704
ZXZZZXZZ,2,0.0003018210592000692,0.03,0.0005189137490930196,0.0004255371192951763
ZXZZZXZX,3,0.0002827799646872853,0.03,0.000522101538211972,0.0004277297990544788
ZXZZZXXZ,3,0.0002174028454680066,0.02,0.000519602177021572,0.0004260081358284668
ZXZZZXXX,4,0.00027810152256241283,0.025,0.0005228561178632907,0.0004280475671136659
ZXZZXZZZ,2,0.0003012811576921792,0.03,0.0005188982162613875,0.0004255236272795882
ZXZZXZZX,3,0.00021696223556869065,0.02,0.0005196012184315313,0.00042600799075588613
ZXZZXZXZ,3,0.00017629421439607773,0.025,0.0005209374625041452,0.0004270460741273782
ZXZZXZXX,4,0.00017478879755547516,0.02,0.0005219036628311136,0.0004275579482336273
ZXZZXXZZ,3,0.0002179239034691416,0.02,0.0005195981005893247,0.0004259989863139458
ZXZZXXZX,4,0.00017549357003210364,0.02,0.0005219022360068437,0.00042755073839418137
ZXZZXXXZ,4,0.00017547143910229268,0.02,0.0005218899385525111,0.0004275390543951284
ZXZZXXXX,5,0.0002251152556944913,0.025,0.0005245411415860102,0.0004293829298494308
ZXZXZZZZ,2,0.0003820776850859686,0.045,0.0005230228747991061,0.00042872270094164444
ZXZXZZZX,3,0.0002900087975158949,0.03,0.000522474620165525,0.000428054745767242
ZXZXZZXZ,3,0.00018144617496035353,0.025,0.0005212296011813389,0.0004273013619944307
ZXZXZZXX,4,0.00018100770992826587,0.02,0.0005221614865916213,0.0004277823234354484
ZXZXZXZZ,3,0.0002323376681932776,0.035,0.0005241994684406781,0.0004297416164998121
ZXZXZXZX,4,0.00012325870610357947,0.04,0.000526452566825264,0.000431717592251107
ZXZXZXXZ,4,8.629746831356755e-05,0.025,0.0005234046373157608,0.00042888421951379867
ZXZXZXXX,5,0.00012045805398139264,0.035,0.0005263835263422112,0.00043131245088181094
ZXZXXZZZ,3,0.0002892579750953528,0.03,0.0005224104820534259,0.00042799112865856206
ZXZXXZZX,4,0.00018101160045005948,0.02,0.0005221452106619617,0.0004277627068647854
ZXZXXZXZ,4,8.562715876203608e-05,0.025,0.0005233782341201865,0.0004288617983538995
ZXZXXZXX,5,8.453349559398027e-05,0.02,0.0005238363145506075,0.0004290115149021313
ZXZXXXZZ,4,0.0002311879325221644,0.03,0.0005245697077894129,0.000429664376334387
ZXZXXXZX,5,0.00011869302099928869,0.035,0.0005263535559687504,0.00043127704830963156
